id,citizen_id,broker_id,application_type,status,submission_date,documents,is_fraud,owner_name,owner_so,owner_address,ownership,chassis_number,engine_number,cubic_capacity,maker_name,model_name,date_of_registration,registration_valid_upto,tax_valid_upto,fitness_status,vehicle_class,vehicle_description,fuel_type,emission_norm,seat_capacity,vehicle_color,insurance_details,insurance_valid_upto,pucc_no,pucc_valid_upto,registering_authority,registration_number
11,207,28,New Registration,Pending,2025-09-16,"aadhaar,pan,etc",False,Jyoti Parekh,Teerth Golla,"392, Bhatti Street
Thane 636170",Single,5470625092314779,1727027862,836 CC,Ford,Innova,2023-04-11,2020-05-01,2023-03-30,Expired,MCV,Car,Electric,BS4,5,Blue,Shankar-Chaudry,2021-12-27,9645043753,2022-06-10,Gurgaon,TN91CH5622
12,580,92,Transfer,Rejected,2025-03-02,"aadhaar,pan,etc",False,Mitesh Gill,Maya Mittal,"67
Shanker Ganj, Hyderabad-306488",Partner,13133133086571887,966926869,845 CC,Hyundai,Innova,2022-06-06,2025-06-25,2021-06-13,Valid,MCV,Motorcycle,CNG,BS4,6,Black,Ranganathan-Venkatesh,2022-06-04,1759707096,2020-06-10,Bhiwani,TN11CH1384
13,601,92,Transfer,Pending,2025-09-18,"aadhaar,pan,etc",False,Ishani Khalsa,Ronith Sura,"951, Rattan Marg, Bikaner 163970",Single,10393639905956477,2525086821,1020 CC,Maruti Suzuki,Swift,2020-04-01,2021-09-09,2022-04-11,Expired,LMV,Truck,Diesel,BS6,2,Red,Bir and Sons,2023-05-23,4879608264,2022-10-01,Bhiwandi,TN96CH5979
14,703,94,Renewal,Rejected,2025-04-01,"aadhaar,pan,etc",False,Arunima Wagle,Mahika Chopra,"H.No. 948, Kumar Street, Rajpur Sonarpur 329803",Partner,20260336418315729,8977509162,1808 CC,Tata Motors,Figo,2020-02-10,2024-01-02,2020-06-25,Expired,HCV,Motorcycle,CNG,BS6,2,Black,Madan LLC,2020-12-15,5541954536,2021-02-26,Raichur,TN81CH2033
15,27,27,Renewal,Rejected,2025-03-04,"aadhaar,pan,etc",False,Utkarsh Rajagopal,Liam Mane,"69/020, Bedi Road
Akola 731703",Partner,26925344974434774,8363072883,1095 CC,Toyota,Nexon,2023-11-17,2025-02-14,2021-02-10,Expired,HCV,Bus,Diesel,BS6,6,Silver,Sama Inc,2021-01-21,2518543212,2023-07-23,Rampur,TN83CH1842
16,459,90,Transfer,Rejected,2025-07-29,"aadhaar,pan,etc",False,Frado Luthra,Ayushman Wagle,"H.No. 316, Seshadri Ganj, Bokaro 814699",Partner,47268659597815263,7803298583,1341 CC,Honda,Innova,2024-06-21,2023-11-14,2022-10-13,Valid,HCV,Bus,Electric,BS4,9,Black,"Kaur, Kamdar and Om",2023-12-18,8244401343,2025-08-24,Gandhidham,TN25CH5968
17,762,85,Transfer,Pending,2025-01-26,"aadhaar,pan,etc",False,Ishwar Anand,Azaan Sibal,"14/94, Parmar Path, Chapra-079696",Single,50317504713356065,8845543555,1845 CC,Maruti Suzuki,Innova,2020-10-07,2025-02-28,2022-06-01,Expired,HMV,Car,Petrol,BS4,2,Grey,"Khatri, Chhabra and Nanda",2023-09-06,9073501959,2020-10-08,Solapur,TN57CH5772
18,914,91,Transfer,Approved,2025-09-23,"aadhaar,pan,etc",False,Chakradev Arya,Watika Merchant,"530, Krish Circle, Rewa 021156",Partner,53953118455703754,4816938488,978 CC,Honda,Innova,2022-02-27,2022-12-21,2025-09-01,Expired,MCV,Motorcycle,CNG,BS6,4,Red,Narula-Yogi,2025-04-04,6637959713,2025-02-05,Ujjain,TN62CH4276
19,851,63,Renewal,Pending,2025-07-25,"aadhaar,pan,etc",False,Vrishti Borde,Tanay Thakur,"26
Sunder Circle, Udaipur 488566",Single,23288916702449193,820335725,1903 CC,Hyundai,Swift,2021-12-10,2021-04-18,2022-04-22,Expired,LMV,Bus,Diesel,BS6,6,White,Shankar PLC,2021-09-04,5843611585,2020-06-15,Akola,TN97CH7394
20,276,20,New Registration,Approved,2025-06-01,"aadhaar,pan,etc",False,Lila Sarraf,Chameli Nori,"62, Kashyap Chowk
Mango-358638",Single,52701005010936401,7756093619,1994 CC,Volkswagen,i10,2023-07-05,2024-12-23,2020-07-30,Expired,HMV,Motorcycle,CNG,BS4,2,Red,"Choudhry, Mand and Shere",2024-10-25,5963005969,2023-07-23,Jamshedpur,TN39CH6900
21,223,47,Renewal,Approved,2025-04-26,"aadhaar,pan,etc",False,Lila Mane,Madhav Mani,"609, Saha Marg
Ajmer 134111",Partner,73849311051344082,5476989998,1750 CC,Maruti Suzuki,Polo,2023-11-03,2022-01-22,2023-09-13,Expired,HMV,Bus,Diesel,BS4,2,White,Tailor-Guha,2020-05-30,1328097200,2022-03-30,Jamnagar,TN15CH3137
22,170,17,Transfer,Pending,2025-06-09,"aadhaar,pan,etc",False,Amara Devan,Jasmit Rao,"757, Natarajan Circle
Karaikudi-316445",Single,75728739434886989,8253719667,1187 CC,Volkswagen,i10,2021-10-26,2022-01-15,2025-02-27,Expired,HMV,Motorcycle,Diesel,BS6,9,Black,"Savant, Merchant and Shankar",2023-10-09,9822195969,2020-10-09,Bhind,TN74CH2670
23,409,43,New Registration,Approved,2025-02-16,"aadhaar,pan,etc",False,Rachit Ahuja,Farhan Mohanty,"H.No. 711, Batta Chowk, Rewa 406696",Partner,36594174829964911,2041200253,1583 CC,Honda,Nexon,2023-07-19,2020-04-28,2022-10-15,Expired,HCV,Motorcycle,Petrol,BS4,3,White,Bawa and Sons,2021-12-13,5915983483,2024-10-21,South Dumdum,TN95CH2601
24,478,74,Renewal,Pending,2025-09-20,"aadhaar,pan,etc",False,Aarini Bassi,Timothy Warrior,"67
Jha Nagar
Srinagar-026019",Single,7480065366476479,2462465423,1730 CC,Tata Motors,Swift,2023-02-17,2020-02-29,2023-11-09,Valid,HMV,Car,Electric,BS4,2,Blue,Keer Ltd,2024-12-29,3139369579,2022-04-26,Raiganj,TN55CH6108
25,656,62,Renewal,Pending,2025-04-29,"aadhaar,pan,etc",False,Shravya Dass,Arunima Pillai,"H.No. 30
Chaudry Marg, Jaunpur-443757",Partner,20468272866628598,1026981425,1859 CC,Ford,Polo,2024-09-01,2025-05-08,2023-02-19,Expired,HCV,Motorcycle,Diesel,BS6,6,Silver,"Sethi, Mohan and Loke",2020-09-25,4182379821,2024-10-03,Darbhanga,TN93CH1367
26,317,49,Renewal,Approved,2025-03-05,"aadhaar,pan,etc",False,Radhika Rao,Rohan Bawa,"866
Mammen Zila
Dibrugarh 785596",Single,67745095036890766,8984863360,1184 CC,Honda,Nexon,2025-03-14,2023-03-09,2024-01-26,Expired,HMV,Motorcycle,Diesel,BS6,2,Red,Tank-Ganguly,2024-11-14,3444428674,2024-09-28,Ujjain,TN42CH5907
27,315,54,Renewal,Rejected,2025-05-08,"aadhaar,pan,etc",False,Ayaan Jayaraman,Unni Seshadri,"91, Bedi Street
Pali 817787",Partner,76298202275715385,2412976244,1059 CC,Tata Motors,Innova,2022-11-07,2021-12-25,2023-05-03,Valid,LMV,Bus,Electric,BS6,6,Silver,Patla-Balay,2022-05-08,603135969,2020-03-12,Thiruvananthapuram,TN19CH3645
28,45,73,Transfer,Approved,2025-05-01,"aadhaar,pan,etc",False,Vaishnavi Narang,Nilima Das,"06/584
Kara Nagar, Pallavaram-157769",Single,72240256420971119,5821919687,1235 CC,Honda,Innova,2024-02-06,2024-05-05,2024-04-20,Valid,LMV,Motorcycle,Electric,BS4,2,Grey,"Mitra, Upadhyay and Kibe",2025-07-04,4816608533,2022-01-13,Panchkula,TN17CH4677
29,626,74,New Registration,Pending,2025-05-27,"aadhaar,pan,etc",False,Ronith Deep,Chameli Barman,"96/83, Kumar Marg
Thanjavur 247817",Partner,46365863106353804,1284616433,1287 CC,Honda,Innova,2025-07-31,2021-02-10,2022-07-15,Valid,HCV,Truck,Electric,BS6,9,Black,Parekh Inc,2025-09-30,1078207654,2023-05-01,Thanjavur,TN74CH2879
30,298,98,New Registration,Rejected,2025-06-20,"aadhaar,pan,etc",False,Bimala Ganesh,Nandini Nagar,"703, Kale Nagar
Rajpur Sonarpur 434252",Partner,12006285088957676,3203920318,808 CC,Volkswagen,Swift,2022-05-30,2021-07-09,2024-02-09,Expired,HMV,Bus,Petrol,BS4,8,Grey,Narang LLC,2025-03-08,7715869010,2025-02-04,Nanded,TN46CH3220
31,612,72,New Registration,Pending,2025-05-17,"aadhaar,pan,etc",False,Ati Venkataraman,Chanakya Mallick,"24, Lall, Jalandhar-498177",Partner,49959888248223278,3204552788,1871 CC,Volkswagen,Innova,2023-04-21,2022-12-15,2024-07-31,Expired,MCV,Car,Diesel,BS6,4,White,"Korpal, Chaudry and Loyal",2022-12-20,8859908076,2023-10-05,Tadipatri,TN45CH1482
32,184,8,Renewal,Rejected,2025-01-04,"aadhaar,pan,etc",False,Neha Merchant,Mekhala Pillai,"400, Raval Marg, Rohtak-794821",Single,82295382769584439,3268202494,1739 CC,Honda,Innova,2023-03-06,2023-11-04,2025-07-24,Expired,LMV,Car,CNG,BS6,4,Black,Taneja Group,2025-01-10,9565616123,2024-04-09,Jalgaon,TN25CH8583
33,322,19,Renewal,Pending,2025-01-22,"aadhaar,pan,etc",False,Barkha Venkatesh,Oliver Halder,"74, Prasad Street, Singrauli-342592",Partner,30374955517524896,3537683924,843 CC,Tata Motors,Nexon,2020-05-21,2023-09-20,2022-03-10,Valid,HCV,Bus,Petrol,BS4,6,Grey,"Bhargava, Varughese and Kuruvilla",2021-11-11,849537011,2021-11-24,Mirzapur,TN26CH1014
34,490,19,New Registration,Approved,2025-06-18,"aadhaar,pan,etc",False,Aarini Doctor,Jai Mandal,"47, Ben Nagar
Saharanpur-251021",Partner,83489310475920696,5267353023,1432 CC,Ford,Nexon,2023-09-11,2023-09-22,2021-09-09,Valid,MCV,Bus,Diesel,BS6,7,Grey,Das LLC,2024-04-14,101827537,2020-12-30,Maheshtala,TN82CH5197
35,23,83,Renewal,Approved,2025-06-05,"aadhaar,pan,etc",False,Pushti Hari,Baljiwan Goyal,"42/25
Lanka Circle, Chennai 814896",Partner,36494249894663587,8883172414,1775 CC,Tata Motors,i10,2023-04-01,2022-07-13,2024-09-22,Valid,LMV,Motorcycle,CNG,BS6,7,White,Karpe Group,2024-07-05,8805342805,2024-01-26,Udupi,TN67CH9512
36,797,4,Transfer,Rejected,2025-06-06,"aadhaar,pan,etc",False,Aishani Morar,Gaurang Chandra,"24/792
Dalal Marg
Karimnagar-156404",Partner,87477331790588177,6537662259,1281 CC,Toyota,Innova,2020-07-09,2020-02-01,2020-11-02,Valid,MCV,Truck,Electric,BS6,6,Red,"Manne, Loyal and Sant",2025-09-19,2010166779,2021-01-11,Adoni,TN84CH3669
37,245,62,Transfer,Pending,2025-01-17,"aadhaar,pan,etc",False,Anamika Mukhopadhyay,Oni Om,"909
Hegde Chowk
Salem 203433",Single,25516693788754028,462586333,1914 CC,Volkswagen,Nexon,2022-12-27,2023-09-02,2021-01-11,Expired,MCV,Truck,CNG,BS6,7,White,Saxena-Ranganathan,2024-10-12,5086480741,2020-09-01,Agartala,TN36CH3753
38,782,47,Renewal,Approved,2025-09-19,"aadhaar,pan,etc",False,Advaith Sridhar,Yug Dhawan,"849, Mahajan Road, Tumkur 788596",Partner,53254575083823331,9894797086,1101 CC,Tata Motors,i10,2024-01-11,2021-08-26,2020-08-17,Expired,LMV,Bus,Petrol,BS4,3,Black,"Gulati, Hans and Devan",2021-01-24,6645697458,2022-06-26,Jamshedpur,TN10CH6637
39,983,59,Renewal,Pending,2025-02-08,"aadhaar,pan,etc",False,Anjali Narain,Kalpit Suri,"955
Bahl Zila, Guntakal 452213",Partner,2440264139142489,8147826111,1708 CC,Maruti Suzuki,Swift,2021-01-13,2022-11-27,2022-07-11,Expired,LMV,Motorcycle,Petrol,BS6,4,Silver,Grewal-Majumdar,2025-09-27,9596901995,2021-09-02,Morbi,TN92CH2154
40,113,48,Renewal,Approved,2025-02-14,"aadhaar,pan,etc",False,Onveer Kannan,Owen Sarna,"82
Modi Ganj
Jamnagar-146180",Partner,79649659012042077,6234371150,1171 CC,Maruti Suzuki,City,2021-12-02,2025-03-17,2020-10-15,Valid,HMV,Truck,CNG,BS4,6,Red,Madan LLC,2025-01-10,4879169517,2020-05-17,Muzaffarpur,TN77CH8635
41,421,32,Renewal,Rejected,2025-07-30,"aadhaar,pan,etc",False,Kamala Sandhu,Sai Aggarwal,"835, Minhas Chowk
Hyderabad-639605",Single,24758522997615562,6122381530,990 CC,Tata Motors,Polo,2020-08-28,2021-05-30,2022-06-28,Expired,HMV,Truck,CNG,BS4,7,White,Kara Inc,2025-02-28,9873885368,2023-01-15,Indore,TN92CH9610
42,287,31,Renewal,Pending,2025-01-24,"aadhaar,pan,etc",False,Kai Nath,Jhalak Dalal,"96
Tata Ganj
Amaravati-756096",Partner,24344821018179455,3036430583,1887 CC,Volkswagen,Figo,2024-11-16,2024-02-12,2023-11-01,Expired,MCV,Motorcycle,CNG,BS6,3,Red,"Rout, Boase and Padmanabhan",2020-12-07,1210239361,2024-07-09,Aligarh,TN11CH4420
43,883,76,Renewal,Rejected,2025-09-24,"aadhaar,pan,etc",False,Lucky Kale,Gaurang Oak,"483
Dave Circle, Dehri-841219",Single,82255409465006021,7250529077,1567 CC,Maruti Suzuki,City,2021-07-11,2024-07-28,2022-09-22,Expired,LMV,Bus,Diesel,BS6,8,White,"Roy, Ravel and Rajagopal",2025-07-02,2633388177,2020-11-08,Morbi,TN26CH9001
44,836,81,Renewal,Approved,2025-05-14,"aadhaar,pan,etc",False,Owen Bains,Wriddhish Shankar,"44, Mane Chowk, Gwalior 958637",Single,83865789335157872,9908988013,1147 CC,Tata Motors,Polo,2025-07-02,2023-12-24,2025-05-06,Valid,MCV,Bus,Petrol,BS4,3,Red,Nagar LLC,2023-12-22,1801953709,2020-08-04,Jodhpur,TN63CH7105
45,107,22,New Registration,Approved,2025-01-14,"aadhaar,pan,etc",False,Ayaan Majumdar,Tripti Nayar,"H.No. 918
Date Path, Pallavaram 047365",Single,88755840734867049,9014152045,1766 CC,Ford,Swift,2020-11-05,2024-04-10,2022-10-17,Expired,HCV,Bus,CNG,BS6,8,Blue,Tak Group,2024-07-30,2840228591,2020-08-03,Guntakal,TN16CH7673
46,912,78,New Registration,Pending,2025-02-06,"aadhaar,pan,etc",False,Panini Ghose,Anita Bahri,"56/21
Prashad Path
Latur-673485",Partner,13609706226868075,4988293875,1405 CC,Volkswagen,City,2021-09-16,2022-02-05,2023-03-17,Expired,MCV,Motorcycle,CNG,BS4,7,Silver,Chatterjee-Vora,2025-08-15,6023790716,2020-02-06,Kumbakonam,TN28CH7308
47,46,52,Renewal,Pending,2025-08-15,"aadhaar,pan,etc",False,Radhika Behl,Hemal Lala,"H.No. 00
Arya Street, Ulhasnagar-594618",Single,63525850645339885,4908120179,827 CC,Honda,Figo,2022-08-03,2020-02-15,2020-05-04,Valid,MCV,Car,CNG,BS6,7,White,"Chaudry, Mohanty and Lata",2022-11-03,2046037684,2023-06-20,Junagadh,TN21CH2110
48,809,6,Renewal,Rejected,2025-05-28,"aadhaar,pan,etc",False,Nachiket Ram,Jhalak Bhardwaj,"52/166
Bakshi Street, Mau-837748",Partner,27340466896076367,1410674380,1303 CC,Volkswagen,Figo,2022-12-29,2023-05-04,2023-05-19,Valid,MCV,Car,CNG,BS4,6,Black,"Virk, Thakkar and Balay",2020-05-16,755555656,2024-03-21,Ballia,TN21CH6111
49,686,22,New Registration,Pending,2025-05-05,"aadhaar,pan,etc",False,Rohan Raj,Vedhika Char,"H.No. 937
Dugal Path, Hospet 595073",Partner,40236051688049564,4881015283,1080 CC,Maruti Suzuki,Nexon,2024-03-02,2020-06-27,2021-05-17,Expired,HCV,Truck,Diesel,BS6,2,White,"Dugar, Nair and Dhaliwal",2022-11-04,3740424993,2020-11-01,Chapra,TN63CH1151
50,713,39,Renewal,Pending,2025-01-25,"aadhaar,pan,etc",False,Faraj Ben,Gaurav Bava,"H.No. 253
Sridhar Path, Bhiwani 040636",Partner,80409879359736409,9399559802,1792 CC,Tata Motors,City,2023-05-29,2021-04-02,2023-11-09,Valid,HMV,Car,CNG,BS4,9,Blue,Dhawan-Ramakrishnan,2022-01-26,2472506217,2021-09-15,Erode,TN66CH6845
51,339,75,Transfer,Approved,2025-09-27,"aadhaar,pan,etc",False,Samaksh Oak,Qabil Aggarwal,"H.No. 337, Manne Path
Kurnool 722931",Partner,30946099603832720,5896543712,1510 CC,Honda,Swift,2020-12-17,2020-02-25,2025-06-05,Valid,LMV,Truck,Diesel,BS4,5,White,Kala Inc,2020-02-11,9060023899,2023-04-09,Madhyamgram,TN69CH7909
52,407,68,Transfer,Rejected,2025-04-26,"aadhaar,pan,etc",False,Owen Purohit,Sanaya Kant,"892
Tank Zila, Danapur 509276",Single,46891032679800109,57911844,1111 CC,Ford,Innova,2021-08-31,2020-11-25,2020-06-06,Valid,HMV,Car,Petrol,BS4,6,Grey,Kala Group,2023-07-07,6991507666,2022-06-18,Mango,TN47CH7066
53,29,48,New Registration,Rejected,2025-07-20,"aadhaar,pan,etc",False,Faris Chhabra,Victor Kamdar,"256
Halder Marg
Yamunanagar 006695",Single,54996817636320460,6425761671,1874 CC,Maruti Suzuki,Polo,2023-07-07,2020-03-06,2023-10-27,Expired,HCV,Truck,Petrol,BS6,7,Red,"Murty, Mitra and Boase",2021-01-30,2095237028,2022-01-08,Orai,TN47CH9049
54,460,30,Transfer,Approved,2025-04-05,"aadhaar,pan,etc",False,Aryan Nagar,Victor Majumdar,"22/91, Bhargava Road
Varanasi-553395",Single,39823778539448209,5693459181,1251 CC,Ford,Swift,2025-01-30,2021-08-22,2025-07-11,Valid,HMV,Truck,Electric,BS4,7,White,"Gandhi, Oza and Chawla",2024-02-11,9474426162,2024-11-17,Narasaraopet,TN27CH4856
55,715,48,Transfer,Pending,2025-04-23,"aadhaar,pan,etc",True,Bina Balakrishnan,Yatin Om,"290
Barad Street
Karnal-400797",Single,87741394270140364,3165904299,1433 CC,Volkswagen,Innova,2023-02-20,2021-10-21,2021-07-19,Expired,MCV,Car,CNG,BS4,5,Black,"Tak, Jani and Bansal",2024-05-26,9990167475,2021-04-19,South Dumdum,TN48CH8108
56,141,96,Transfer,Rejected,2025-05-31,"aadhaar,pan,etc",False,Udyati Narain,Om Krishnamurthy,"10, Chad Road, Aurangabad 317422",Partner,95410264582739794,8140984036,1038 CC,Ford,i10,2023-03-31,2021-09-12,2022-12-24,Valid,HMV,Bus,Petrol,BS6,6,Silver,Mohanty LLC,2023-12-12,5870508681,2021-05-11,Nagpur,TN33CH1849
57,277,97,New Registration,Rejected,2025-02-07,"aadhaar,pan,etc",False,Brinda Bhargava,Adweta Atwal,"H.No. 26
Vala Chowk
Nangloi Jat-545651",Single,98932346367554629,4477943503,1601 CC,Hyundai,City,2021-12-12,2023-09-07,2020-01-14,Valid,HCV,Motorcycle,Petrol,BS4,8,Blue,Purohit Inc,2022-08-13,9921304082,2024-04-15,Ahmednagar,TN66CH7703
58,505,57,New Registration,Rejected,2025-06-18,"aadhaar,pan,etc",False,Peter Roy,Zaitra Khare,"981, Loke Ganj
Arrah 119435",Single,73421490322655993,9392786067,1055 CC,Maruti Suzuki,Polo,2020-12-09,2023-01-04,2020-02-15,Expired,MCV,Bus,CNG,BS4,4,Silver,Sinha PLC,2025-05-21,934714522,2023-03-07,Bally,TN43CH7848
59,327,37,Transfer,Approved,2025-06-16,"aadhaar,pan,etc",True,Ryan Sengupta,Nandini Bandi,"H.No. 60
Chand, Barasat-833862",Partner,95533584207334424,1884730035,1504 CC,Honda,Swift,2024-06-23,2020-03-18,2023-01-26,Valid,MCV,Truck,Diesel,BS6,8,Silver,Gour Inc,2020-11-21,387514184,2024-03-18,Ambala,TN94CH6627
60,537,64,New Registration,Approved,2025-09-28,"aadhaar,pan,etc",False,Ekaraj Char,Indrajit Mann,"27, Date Circle, Mathura-176155",Partner,91449748542432156,210818306,957 CC,Hyundai,Nexon,2020-08-15,2020-08-11,2020-11-08,Expired,HMV,Car,CNG,BS6,7,Grey,"Mallick, Dhar and Sandhu",2022-06-27,9124539186,2023-05-18,Kumbakonam,TN48CH6888
61,801,7,New Registration,Approved,2025-02-23,"aadhaar,pan,etc",False,Bhavani Panchal,Ekanta Saini,"834, Aggarwal Circle
Kurnool-526085",Single,24156634831596296,1320347170,1076 CC,Tata Motors,Nexon,2024-02-05,2024-04-26,2025-06-04,Valid,LMV,Bus,Electric,BS6,7,Red,"Chanda, Vasa and Shan",2020-01-03,9693573672,2021-03-16,Warangal,TN13CH2484
62,421,21,Transfer,Approved,2025-04-21,"aadhaar,pan,etc",False,Dominic Memon,Samaksh Gandhi,"H.No. 503
Kaul Street, Hindupur-042088",Partner,84289418208309063,248227659,1491 CC,Tata Motors,City,2021-10-26,2021-03-05,2022-06-03,Expired,HMV,Motorcycle,CNG,BS4,6,Blue,"Handa, Sangha and Iyengar",2025-08-30,9649900220,2024-05-08,Dibrugarh,TN71CH7015
63,166,15,Transfer,Approved,2025-06-05,"aadhaar,pan,etc",True,Daksh Mahal,Shivansh Madan,"H.No. 59
Kalla Street, Dehri 941080",Single,83828830471882081,84623932,1076 CC,Hyundai,Swift,2022-11-27,2021-02-28,2020-03-02,Valid,HCV,Bus,Petrol,BS6,9,Blue,Thakkar Ltd,2023-10-26,8695338557,2022-01-23,Belgaum,TN81CH7088
64,985,63,New Registration,Approved,2025-01-08,"aadhaar,pan,etc",False,Viraj Bala,Alka Sandhu,"55/92
Biswas Path, Bikaner 263318",Partner,35637572008996843,3973288534,1628 CC,Toyota,Innova,2023-01-21,2022-03-16,2020-03-01,Valid,MCV,Truck,CNG,BS4,8,Black,"Deol, Walia and Parmar",2021-08-07,444605479,2022-09-08,Chittoor,TN18CH3032
65,689,12,Renewal,Rejected,2025-02-11,"aadhaar,pan,etc",False,Max Mand,Udarsh Om,"H.No. 348, Rai Nagar
Karaikudi-915534",Partner,3303435223592210,3052126175,1597 CC,Ford,Figo,2025-02-19,2021-12-27,2025-05-07,Expired,HMV,Truck,Petrol,BS6,8,Grey,Viswanathan-Naik,2023-08-06,5304908912,2020-10-01,Ambarnath,TN92CH4058
66,884,55,Transfer,Rejected,2025-03-07,"aadhaar,pan,etc",False,Pranit Chand,Warda Srivastava,"H.No. 58
Khatri Marg, Rajpur Sonarpur-377828",Single,81060039492834071,3035006177,1784 CC,Honda,Innova,2024-06-18,2024-10-31,2021-12-28,Expired,HMV,Car,Diesel,BS6,2,Blue,Agarwal Group,2024-10-13,1258320392,2024-05-17,Jalgaon,TN76CH8632
67,79,76,Renewal,Approved,2025-04-08,"aadhaar,pan,etc",False,Mugdha Narayanan,Simon Mukhopadhyay,"64/32
Sule Nagar, Jammu-888999",Partner,59395653708860226,2627458828,1238 CC,Ford,City,2022-08-17,2025-03-02,2021-03-27,Valid,HMV,Truck,Diesel,BS4,4,Silver,"Sandal, Mukherjee and Khanna",2023-02-20,6747717416,2021-01-13,Ongole,TN11CH9410
68,608,100,Transfer,Pending,2025-03-24,"aadhaar,pan,etc",False,Osha Sridhar,Mugdha Doshi,"H.No. 89, Bhatnagar Ganj, Cuttack-578203",Single,9884633381114789,6016187541,1004 CC,Tata Motors,Polo,2022-04-26,2022-12-19,2022-02-02,Valid,HCV,Truck,Electric,BS6,5,Grey,Tella-Reddy,2021-12-13,3469494096,2022-01-05,Jamshedpur,TN88CH5589
